Unnamed: 0,x,y,area,pixelValue,height,heights
98,2997,4425,1327.5,147,10.10474509803907,tensor([[10.2346]])
99,2997,4425,1320,147,10.31937254901959,tensor([[10.2349]])
100,2396,4428,1622.5,149,9.972666666666557,tensor([[10.2212]])
101,2396,4428,1614.5,149,9.36180392156848,tensor([[10.2216]])
102,2712,4406,808.5,152,10.31937254901959,tensor([[10.2580]])
103,2712,4406,804,152,10.35239215686261,tensor([[10.2582]])
104,2647,4407,787.5,146,10.2533333333331,tensor([[10.2590]])
105,2647,4407,784,146,10.20380392156858,tensor([[10.2591]])
106,403,4394,1056,153,10.36890196078411,tensor([[10.2468]])
107,403,4394,1053,153,10.36890196078411,tensor([[10.2470]])
108,3345,4398,817,151,10.36890196078411,tensor([[10.2576]])
109,3345,4398,814,151,10.23682352941159,tensor([[10.2578]])
110,3247,4389,737.5,150,9.906627450980068,tensor([[10.2612]])
111,3247,4389,733.5,150,9.774549019608004,tensor([[10.2614]])
112,3067,4388,987,151,10.38541176470562,tensor([[10.2499]])
113,3067,4388,984,151,10.23682352941159,tensor([[10.2501]])
114,2777,4380,975.5,151,10.35239215686261,tensor([[10.2505]])
115,2777,4380,972,151,10.2533333333331,tensor([[10.2506]])
116,2907,4375,957,123,9.857098039215543,tensor([[10.2513]])
117,2907,4375,951,123,9.956156862744592,tensor([[10.2516]])
118,2562,4364,850,123,9.758039215686496,tensor([[10.2561]])
119,2562,4364,846,123,9.741529411764532,tensor([[10.2563]])
120,684,4364,769.5,150,10.53399999999965,tensor([[10.2598]])
121,684,4364,767,150,10.00568627450957,tensor([[10.2599]])
122,473,4373,1825.5,149,10.56701960784267,tensor([[10.2121]])
123,473,4373,1819,149,10.56701960784267,tensor([[10.2124]])
124,3423,4354,1095,148,10.31937254901959,tensor([[10.2451]])
125,3423,4354,1090,148,10.30286274509808,tensor([[10.2453]])
126,2638,4351,908,144,10.13776470588209,tensor([[10.2535]])
127,2638,4351,902,144,10.28635294117612,tensor([[10.2538]])
128,3304,4336,783,147,10.1542745098036,tensor([[10.2592]])
129,3304,4336,779.5,147,10.17078431372511,tensor([[10.2593]])
130,803,4332,781,150,10.4349411764706,tensor([[10.2593]])
131,803,4332,777.5,150,10.26984313725507,tensor([[10.2594]])
132,2326,4343,1129,148,10.2533333333331,tensor([[10.2435]])
133,2326,4343,1123,148,10.26984313725507,tensor([[10.2438]])
134,527,4332,1498.5,145,9.725019607843478,tensor([[10.2268]])
135,527,4332,1493.5,145,9.295764705882448,tensor([[10.2271]])
136,305,4330,1562.5,154,10.10474509803907,tensor([[10.2240]])
137,305,4330,1556,154,10.63305882352961,tensor([[10.2242]])
138,3169,4311,683.5,149,10.31937254901959,tensor([[10.2637]])
139,3169,4311,679.5,149,10.28635294117612,tensor([[10.2638]])
140,2975,4316,1223.5,153,9.510392156862965,tensor([[10.2393]])
141,2975,4316,1219,153,10.00568627450957,tensor([[10.2395]])
142,1163,4314,1066.5,149,10.2533333333331,tensor([[10.2464]])
143,1163,4314,1062.5,149,10.28635294117612,tensor([[10.2465]])
144,2445,4293,1579,145,10.1542745098036,tensor([[10.2232]])
145,2445,4293,1573,145,9.725019607843478,tensor([[10.2235]])
146,3377,4272,697,146,10.30286274509808,tensor([[10.2630]])
147,3377,4272,692,146,10.1542745098036,tensor([[10.2633]])
148,3052,4269,1026,150,9.791058823529513,tensor([[10.2482]])
149,3052,4269,1022.5,150,10.26984313725507,tensor([[10.2483]])
150,2692,4279,1407,145,10.13776470588209,tensor([[10.2310]])
151,2692,4279,1402,145,10.22031372549009,tensor([[10.2312]])
152,3309,4264,674,150,10.48447058823513,tensor([[10.2641]])
153,3309,4264,670.5,150,10.31937254901959,tensor([[10.2642]])
154,131,4263,981.5,149,10.31937254901959,tensor([[10.2502]])
155,131,4263,978.5,149,10.30286274509808,tensor([[10.2503]])
156,2623,4257,1146,151,10.53399999999965,tensor([[10.2428]])
157,2623,4257,1140.5,151,9.873607843137052,tensor([[10.2430]])
158,2438,4248,755.5,147,10.22031372549009,tensor([[10.2604]])
159,2438,4248,752.5,147,10.23682352941159,tensor([[10.2605]])
160,2391,4234,789,146,10.3358823529411,tensor([[10.2589]])
161,2391,4234,782.5,146,10.1542745098036,tensor([[10.2592]])
162,2906,4220,989,152,10.2533333333331,tensor([[10.2499]])
163,2906,4219,986,152,10.40192156862759,tensor([[10.2500]])
164,386,4207,674,153,10.48447058823513,tensor([[10.2641]])
165,386,4207,671.5,153,10.36890196078411,tensor([[10.2642]])
166,3109,4200,848.5,149,10.30286274509808,tensor([[10.2562]])
167,3109,4200,845,149,10.3358823529411,tensor([[10.2564]])
168,162,4212,2205,154,10.36890196078411,tensor([[10.1949]])
169,162,4212,2198,154,10.40192156862759,tensor([[10.1952]])
170,108,4187,1017,123,9.526901960784471,tensor([[10.2486]])
171,108,4187,1012.5,123,9.015098039215443,tensor([[10.2488]])
172,202,4170,1108.5,123,9.708509803921515,tensor([[10.2445]])
173,202,4170,1105,123,9.923137254901576,tensor([[10.2446]])
174,3370,4156,825,151,10.18729411764707,tensor([[10.2573]])
175,3370,4156,821.5,151,10.23682352941159,tensor([[10.2574]])
176,1858,4151,963.5,150,10.41843137254909,tensor([[10.2510]])
177,1858,4151,959.5,150,10.23682352941159,tensor([[10.2512]])
178,1275,4143,723,150,10.22031372549009,tensor([[10.2619]])
179,1275,4143,720.5,150,10.22031372549009,tensor([[10.2620]])
180,2337,4145,1453,159,10.63305882352961,tensor([[10.2289]])
181,2337,4145,1448,159,10.53399999999965,tensor([[10.2291]])
182,141,4136,678.5,153,10.23682352941159,tensor([[10.2639]])
183,141,4136,675.5,153,10.35239215686261,tensor([[10.2640]])
184,2733,4127,778.5,149,10.3358823529411,tensor([[10.2594]])
185,2733,4127,776,149,10.20380392156858,tensor([[10.2595]])
186,3268,4127,739,149,10.2533333333331,tensor([[10.2611]])
187,3268,4127,736.5,149,9.758039215686496,tensor([[10.2613]])
188,2243,4128,961,150,10.30286274509808,tensor([[10.2511]])
189,2243,4128,956.5,150,9.857098039215543,tensor([[10.2513]])
190,436,4085,879,147,9.394823529411497,tensor([[10.2548]])
191,436,4085,874.5,147,9.741529411764532,tensor([[10.2550]])
192,2978,4068,800,148,10.1542745098036,tensor([[10.2584]])
193,2978,4068,796,148,10.2533333333331,tensor([[10.2586]])
194,3490,4067,1116.5,147,10.12125490196058,tensor([[10.2441]])
195,3490,4067,1112,147,10.12125490196058,tensor([[10.2443]])
196,313,4073,1147,152,10.41843137254909,tensor([[10.2427]])
197,313,4073,1142,152,10.22031372549009,tensor([[10.2429]])
198,2722,4066,990,152,10.38541176470562,tensor([[10.2498]])
199,2722,4066,984,152,10.23682352941159,tensor([[10.2501]])
200,3065,4060,1504.5,123,9.015098039215443,tensor([[10.2266]])
201,3065,4060,1499.5,123,9.725019607843478,tensor([[10.2268]])
202,3156,4040,782,149,10.26984313725507,tensor([[10.2592]])
203,3156,4040,779.5,149,10.17078431372511,tensor([[10.2593]])
204,458,4044,806,150,10.20380392156858,tensor([[10.2581]])
205,458,4044,802.5,150,10.3358823529411,tensor([[10.2583]])
206,240,4067,2308,146,10.30286274509808,tensor([[10.1903]])
207,240,4067,2300.5,146,10.17078431372511,tensor([[10.1906]])
208,2883,4044,1764,146,9.675490196078044,tensor([[10.2149]])
209,2883,4044,1758,146,9.609450980392012,tensor([[10.2151]])
210,3451,4025,1047,154,10.48447058823513,tensor([[10.2472]])
211,3451,4025,1043,154,10.35239215686261,tensor([[10.2474]])
212,3242,4030,3117,144,9.246235294117469,tensor([[10.1537]])
213,3242,4030,3109,144,9.246235294117469,tensor([[10.1541]])
214,118,3998,982,148,10.2533333333331,tensor([[10.2502]])
215,118,3998,976,148,10.35239215686261,tensor([[10.2504]])
216,2148,4010,1468.5,153,10.28635294117612,tensor([[10.2282]])
217,2148,4010,1465,153,10.31937254901959,tensor([[10.2284]])
218,392,3995,1037.5,153,10.45145098039211,tensor([[10.2477]])
219,392,3995,1034.5,153,10.48447058823513,tensor([[10.2478]])
220,3021,3988,1345,149,10.35239215686261,tensor([[10.2338]])
221,3020,3987,1340.5,149,10.50098039215663,tensor([[10.2340]])
222,278,3983,807,146,10.2533333333331,tensor([[10.2581]])
223,278,3983,805,146,10.18729411764707,tensor([[10.2582]])
224,2185,3971,774.5,152,10.3358823529411,tensor([[10.2595]])
225,2185,3971,770.5,152,10.46796078431362,tensor([[10.2597]])
226,51,3974,1174.5,145,10.2533333333331,tensor([[10.2415]])
227,51,3974,1170.5,145,10.23682352941159,tensor([[10.2417]])
228,3125,3971,1136,148,9.774549019608004,tensor([[10.2432]])
229,3125,3971,1132.5,148,10.2533333333331,tensor([[10.2434]])
230,3227,3950,843,148,10.28635294117612,tensor([[10.2565]])
231,3227,3950,838,148,10.20380392156858,tensor([[10.2567]])
232,2223,3952,978.5,146,10.30286274509808,tensor([[10.2503]])
233,2223,3952,972.5,146,9.824078431372527,tensor([[10.2506]])
234,133,3940,961.5,154,10.4349411764706,tensor([[10.2511]])
235,133,3940,958.5,154,10.48447058823513,tensor([[10.2512]])
236,225,3937,1102.5,154,10.55050980392161,tensor([[10.2447]])
237,225,3937,1099.5,154,10.02219607843153,tensor([[10.2449]])
238,1770,3931,763,150,10.23682352941159,tensor([[10.2601]])
239,1770,3931,758.5,150,10.1542745098036,tensor([[10.2603]])
240,3265,3921,843,147,10.28635294117612,tensor([[10.2565]])
241,3265,3921,841,147,10.26984313725507,tensor([[10.2565]])
242,3359,3929,1054,145,10.36890196078411,tensor([[10.2469]])
243,3359,3929,1050,145,9.774549019608004,tensor([[10.2471]])
244,3104,3921,752.5,150,10.23682352941159,tensor([[10.2605]])
245,3104,3921,748.5,150,10.2533333333331,tensor([[10.2607]])
246,2287,3923,1079,150,10.31937254901959,tensor([[10.2458]])
247,2287,3923,1075,150,10.38541176470562,tensor([[10.2460]])
248,85,3918,1208,151,10.4349411764706,tensor([[10.2400]])
249,85,3918,1204,151,10.36890196078411,tensor([[10.2401]])
250,3195,3925,1456,152,10.63305882352961,tensor([[10.2288]])
251,3195,3925,1448.5,152,10.63305882352961,tensor([[10.2291]])
252,1099,3916,765,146,10.22031372549009,tensor([[10.2600]])
253,1099,3916,760,146,9.824078431372527,tensor([[10.2602]])
254,3528,3912,1789.5,143,10.13776470588209,tensor([[10.2137]])
255,3528,3912,1781,143,9.675490196078044,tensor([[10.2141]])
256,2717,3890,934,151,10.40192156862759,tensor([[10.2523]])
257,2717,3890,930.5,151,9.956156862744592,tensor([[10.2525]])
258,2925,3887,752,149,10.2533333333331,tensor([[10.2606]])
259,2925,3887,747,149,10.08823529411757,tensor([[10.2608]])
260,3154,3881,1043.5,148,10.31937254901959,tensor([[10.2474]])
261,3154,3881,1041,148,10.26984313725507,tensor([[10.2475]])
262,2412,3877,691,145,10.13776470588209,tensor([[10.2633]])
263,2412,3877,686.5,145,10.30286274509808,tensor([[10.2635]])
264,2215,3868,690.5,146,10.23682352941159,tensor([[10.2633]])
265,2215,3868,688.5,146,10.30286274509808,tensor([[10.2634]])
266,1983,3869,1110.5,144,10.10474509803907,tensor([[10.2444]])
267,1983,3869,1105,144,9.923137254901576,tensor([[10.2446]])
268,3423,3862,827.5,149,9.906627450980068,tensor([[10.2572]])
269,3423,3862,823,149,9.873607843137052,tensor([[10.2574]])
270,3025,3864,824,148,10.3358823529411,tensor([[10.2573]])
271,3025,3864,820.5,148,10.3358823529411,tensor([[10.2575]])
272,252,3861,1102,151,10.48447058823513,tensor([[10.2448]])
273,252,3861,1096,151,10.31937254901959,tensor([[10.2450]])
274,2785,3849,1298.5,150,10.35239215686261,tensor([[10.2359]])
275,2785,3849,1295,150,10.3358823529411,tensor([[10.2360]])
276,3238,3841,668.5,152,10.30286274509808,tensor([[10.2643]])
277,205,3850,889,147,10.22031372549009,tensor([[10.2544]])
278,205,3850,884,147,10.26984313725507,tensor([[10.2546]])
279,25,3845,1207.5,152,10.4349411764706,tensor([[10.2400]])
280,25,3845,1203.5,152,10.36890196078411,tensor([[10.2402]])
281,2542,3842,673.5,151,10.41843137254909,tensor([[10.2641]])
282,2542,3842,669.5,151,10.20380392156858,tensor([[10.2643]])
283,2298,3856,1598,123,9.06462745097997,tensor([[10.2224]])
284,2298,3856,1590,123,9.411333333333005,tensor([[10.2227]])
285,2978,3827,1050.5,149,9.791058823529513,tensor([[10.2471]])
286,2978,3827,1045.5,149,9.923137254901576,tensor([[10.2473]])
287,2513,3825,1062.5,150,10.28635294117612,tensor([[10.2465]])
288,2513,3825,1057,150,10.36890196078411,tensor([[10.2468]])
289,3531,3817,794,150,9.807568627451021,tensor([[10.2587]])
290,3531,3817,791,150,10.30286274509808,tensor([[10.2588]])
291,3400,3817,1364,148,10.3358823529411,tensor([[10.2329]])
292,3400,3817,1357.5,148,10.46796078431362,tensor([[10.2332]])
293,3033,3803,731,150,10.31937254901959,tensor([[10.2615]])
294,3033,3803,729.5,150,10.28635294117612,tensor([[10.2616]])
295,3187,3800,1190,150,9.840588235294035,tensor([[10.2408]])
296,3187,3800,1185.5,150,9.857098039215543,tensor([[10.2410]])
297,532,3795,1025.5,123,9.791058823529513,tensor([[10.2482]])
298,532,3795,1019,123,9.989176470588518,tensor([[10.2485]])
299,3485,3784,813,147,10.28635294117612,tensor([[10.2578]])
300,3485,3784,810,147,10.28635294117612,tensor([[10.2579]])
301,444,3788,924,123,9.923137254901576,tensor([[10.2528]])
302,444,3788,919.5,123,9.989176470588518,tensor([[10.2530]])
303,3313,3786,1342,149,10.20380392156858,tensor([[10.2339]])
304,3313,3786,1337,149,10.26984313725507,tensor([[10.2341]])
305,1810,3781,1116,145,10.12125490196058,tensor([[10.2441]])
306,1810,3782,1112,145,10.12125490196058,tensor([[10.2443]])
307,2629,3784,1204.5,148,10.36890196078411,tensor([[10.2401]])
308,2629,3784,1200.5,148,10.2533333333331,tensor([[10.2403]])
309,3440,3766,694.5,150,10.3358823529411,tensor([[10.2632]])
310,3440,3766,691,150,10.13776470588209,tensor([[10.2633]])
311,194,3769,1389,150,9.857098039215543,tensor([[10.2318]])
312,194,3769,1384.5,150,9.89011764705856,tensor([[10.2320]])
313,3232,3767,799,123,9.246235294117469,tensor([[10.2584]])
314,3232,3767,794.5,123,9.444352941176476,tensor([[10.2586]])
315,2886,3774,1589,149,9.411333333333005,tensor([[10.2228]])
316,2886,3774,1582,149,10.22031372549009,tensor([[10.2231]])
317,3617,3759,1028,123,9.89011764705856,tensor([[10.2481]])
318,3617,3760,1023.5,146,10.30286274509808,tensor([[10.2483]])
319,3007,3753,1549,146,10.23682352941159,tensor([[10.2246]])
320,3007,3753,1542,146,10.12125490196058,tensor([[10.2249]])
321,3290,3734,757,146,9.857098039215543,tensor([[10.2603]])
322,3290,3734,754,146,10.17078431372511,tensor([[10.2605]])
323,353,3743,2269,148,10.2533333333331,tensor([[10.1920]])
324,353,3743,2261.5,148,10.2533333333331,tensor([[10.1924]])
325,2745,3720,964,147,10.38541176470562,tensor([[10.2510]])
326,2745,3720,959.5,147,10.23682352941159,tensor([[10.2512]])
