x,y,area,height
4206,5027,0.04,1.576039215686251
3251,5031,1,4.423960784313749
344,5031,0.2,0.4239607843137492
398,5070,92.09999999999999,2.576039215686251
3285,5012,7.2,18.42396078431375
3152,5011,3.16,6.423960784313749
1254,5022,21.6,29.42396078431375
4246,4998,0.76,1.576039215686251
4191,4991,0.04,1.576039215686251
4132,4994,0.27,2.423960784313749
3702,5058,78.36,7.423960784313749
418,4991,11.315,12.42396078431375
4039,5006,82.405,3.423960784313749
3826,5020,52.88,14.42396078431375
3108,4961,0.13,2.576039215686251
4264,4939,0.06,1.576039215686251
1169,4948,22.635,21.42396078431375
4264,4910,0.04,1.576039215686251
4103,4903,0.06,1.423960784313749
3602,4944,31.35,19.42396078431375
761,4906,0.18,1.576039215686251
1063,4908,3.365,10.42396078431375
4162,4888,0.04,0.5760392156862508
3017,4940,165.435,2.576039215686251
2662,4888,0.06,2.576039215686251
469,4915,12.635,16.42396078431375
3778,4917,31.525,14.42396078431375
387,4913,24.875,24.42396078431375
6729,4874,0.04,1.576039215686251
6714,4874,0.06,2.576039215686251
4029,4909,35.405,19.42396078431375
3006,4874,0.04,0.4239607843137492
4198,4866,0.09,1.576039215686251
2999,4866,0.06,0.4239607843137492
2879,4881,6.57,13.42396078431375
2684,4866,0.09,1.576039215686251
1227,4908,39.845,29.42396078431375
44,4866,0.06,1.423960784313749
4235,4859,0.04,1.576039215686251
3850,4866,1.92,9.423960784313749
1537,4861,0.345,2.423960784313749
784,4864,0.635,1.576039215686251
3218,4872,10.64,16.42396078431375
2976,4863,3.04,9.423960784313749
4249,4837,0.06,1.576039215686251
3749,4853,16.125,18.42396078431375
1568,4849,5.81,20.42396078431375
4249,4822,0.09,1.576039215686251
3090,4847,17.87,28.42396078431375
1481,4856,25.33,23.42396078431375
578,4863,35.16,26.42396078431375
6674,4815,0.18,1.576039215686251
273,4826,2.55,7.423960784313749
3823,4810,0.49,1.423960784313749
1519,4820,2.77,5.423960784313749
1152,4819,6.2,16.42396078431375
4228,4807,0.34,0.5760392156862508
321,4811,4.55,15.42396078431375
253,4807,1.68,6.423960784313749
2902,4810,13.495,16.42396078431375
4198,4786,0.06,0.5760392156862508
1249,4808,17.615,28.42396078431375
2706,4782,1.7,0.4239607843137492
377,4813,26.175,9.423960784313749
1606,4795,16.805,18.42396078431375
921,4771,0.06,1.576039215686251
739,4771,0.04,0.5760392156862508
118,4848,105.775,15.42396078431375
4213,4764,0.04,1.576039215686251
1594,4764,0.06,1.576039215686251
1499,4767,0.27,1.576039215686251
